fp_0,fp_1,fp_2,fp_3,fp_4,fp_5,fp_6,fp_7,fp_8,fp_9,fp_10,fp_11,fp_12,fp_13,fp_14,fp_15,fp_16,fp_17,fp_18,fp_19,fp_20,fp_21,fp_22,fp_23,fp_24,fp_25,fp_26,fp_27,fp_28,fp_29,fp_30,fp_31,color_name
0.23237717,0.96123546,0.14748661,0.00085748034,0.0,0.0017149607,0.0017149607,0.00085748034,0.0,0.0,0.0,0.0017149607,0.015434646,0.005144882,0.0,0.0,0.13515137,0.18020184,0.32703295,0.33037004,0.36707783,0.43381923,0.35873514,0.5305943,0.0767425,0.02437703,0.02437703,0.11105091,0.073131084,0.054171175,0.09570241,0.98140115,Orange
0.07323391,0.8342728,0.5462854,0.0,0.0,0.0,0.00395859,0.0,0.0,0.0,0.0009896475,0.00395859,0.012865417,0.0,0.0,0.0,0.15601341,0.2860246,0.53391254,0.53217906,0.39870095,0.30162594,0.13867858,0.23748708,0.086442485,0.09771759,0.08393691,0.17664334,0.1453236,0.15534592,0.1941824,0.9283171,Gold
0.19477442,0.9781435,0.07005045,0.0,0.0,0.0051256428,0.0,0.0,0.0,0.0,0.0,0.0,0.008542738,0.017085476,0.0,0.0,0.074314356,0.012385726,0.11921261,0.32976997,0.34989676,0.3266735,0.40408432,0.6920524,0.023143811,0.00534088,0.03115513,0.10859788,0.07477231,0.038276304,0.05785953,0.98806274,Orange
0.3126822,0.9391554,0.14081788,0.0,0.0,0.0011088022,0.0044352086,0.0,0.0,0.0,0.0,0.0,0.018849637,0.0,0.0033264065,0.0,0.31337613,0.28508523,0.36560547,0.47659287,0.3764866,0.37431037,0.2916139,0.30467123,0.3775119,0.5926531,0.37345263,0.371423,0.27400056,0.12380766,0.144104,0.34300813,Black
0.25067553,0.9523905,0.17300142,0.0,0.0,0.002647981,0.00088266033,0.0,0.0,0.0,0.00088266033,0.00088266033,0.0044133016,0.012357244,0.0017653207,0.0,0.13126762,0.06563381,0.15627098,0.34067073,0.4156808,0.34692156,0.40474185,0.61727035,0.03523785,0.02554744,0.042285416,0.096023135,0.08192799,0.0572615,0.07311853,0.98577875,Orange
0.066147864,0.7800293,0.6219617,0.0025771894,0.0008590631,0.0017181262,0.0017181262,0.0,0.0,0.0,0.0008590631,0.0017181262,0.018040325,0.0,0.0,0.0,0.21353011,0.26184714,0.4582325,0.4566739,0.40991548,0.42238438,0.2587299,0.23223348,0.06413987,0.09289223,0.08736293,0.19463134,0.20458408,0.16366726,0.2067958,0.91122854,Gold
0.25588566,0.94463515,0.20403217,0.0,0.0,0.0011272496,0.0045089982,0.0,0.0,0.0,0.0,0.0011272496,0.015781494,0.0,0.0,0.016908742,0.31690624,0.6702385,0.50450015,0.35515356,0.20216432,0.12566972,0.094707616,0.063745506,0.30341488,0.29553396,0.4472414,0.62850225,0.32311714,0.12018381,0.09260064,0.313266,Black
0.21556935,0.114124954,0.019020826,0.0,0.0,0.0,0.0015850688,0.007925344,0.0,0.0,0.0015850688,0.70694065,0.63561255,0.12205029,0.11253988,0.093519054,0.20647372,0.331399,0.7408763,0.4407086,0.27067143,0.17003718,0.043376833,0.019085806,0.14360686,0.10814837,0.14537978,0.24643646,0.22516137,0.3368556,0.8102264,0.2553011,Violet
0.9077999,0.40467185,0.10930312,0.0,0.0,0.0025031248,0.0008343749,0.0,0.0,0.0,0.0,0.0016687498,0.009178124,0.007509374,0.0050062495,0.0041718744,0.123838134,0.11145432,0.17474937,0.27106792,0.29033163,0.30959535,0.37426636,0.7402769,0.038226213,0.025484143,0.059159618,0.15017441,0.0891945,0.091014795,0.16837737,0.9629365,Red
0.06307295,0.6929938,0.71806127,0.0,0.0,0.0,0.0024258827,0.0,0.0,0.0,0.0,0.0040431377,0.012129414,0.0,0.0,0.0,0.18417524,0.41974822,0.5339654,0.4454471,0.40118793,0.2669827,0.20559096,0.17846438,0.07149941,0.09118765,0.09118765,0.20620842,0.1689044,0.1689044,0.19895487,0.91602135,Gold
